year,NAME,NAME_CLEAN,FIRMFIND,Location ,Incentive_Type ,Term ,Projected_Jobs,Projected_New_State_Tax_Revenue_Over_Term ,Projected_Capital_Investment,Projected_New_State_Wages ,Maximum_Cap_Incentive
2006,Allegheny Technologies,Allegheny Technologies,ATI TITANIUM,Tooele Co.,EDTIF,10,150,"$14,346,000 ","$300,000,000 ","$73,364,000 ","$3,250,000 "
2006,Cephalon I,Cephalon,TEVA,Salt Lake City,EDTIF,5,365,"$11,071,000 ","$100,000,000 ","$24,900,000 ","$2,100,000 "
2006,Extra Space Storage,Extra Space Storage,,Salt Lake Co.,EDTIF,10,90,"$3,233,000 ", $-   ,"$67,400,000 ","$1,000,000 "
2006,Heritage Plastics,Heritage Plastics,,Milford,EDTIF,10,100,"$9,657,000 ","$5,300,000 ","$25,075,000 ","$1,500,000 "
2006,IM Flash Technologies Inc.* (cy2011),IM Flash Technologies Inc.,,Lehi,EDTIF,5,"1,850","$48,795,000 ","$3,000,000,000 ","$488,000,000 ","$14,639,000 "
2006,KraftMaid Cabinetry,KraftMaid Cabinetry,MASCO,West Jordan,EDTIF,10,"1,333","$16,217,000 ","$107,000,000 ","$400,300,000 ","$3,243,000 "
2006,Nucor,Nucor,,Brigham City,EDTIF,10,225,"$7,844,500 ","$27,000,000 ","$97,640,000 ","$2,353,350 "
2006,Qwest,Qwest,,Logan,EDTIF,10,574,"$16,734,000 ","$25,806,267 ","$207,342,000 ","$2,500,000 "
2006,Rossignol/Quicksilver,Rossignol/Quicksilver,,Park City,EDTIF,10,100,"$7,365,000 ", $-   ,"$71,900,000 ","$2,500,000 "
2006,Silicon Valley Bank** ,Silicon Valley Bank,SVB,Salt Lake Co.,EDTIF,5,300,"$8,136,000 ","$7,000,000 ","$135,626,000 ","$990,000 "
2006,Varian Medical Systems,Varian Medical Systems,,Salt Lake City,EDTIF,10,100,"$9,593,000 ","$15,000,000 ","$57,508,000 ","$1,000,000 "
2006,West Liberty Foods,West Liberty Foods,,Tremonton,EDTIF,10,500,"$6,920,000 ","$50,000,000 ","$131,400,000 ","$2,000,000 "
2006,Williams International,Williams International,,Ogden,AATIF,20,153,"$63,058,400 ","$43,900,000 ","$78,449,061 ","$18,917,520 "
2007,US Food Service,US Food Service,US FOODS,Ogden,EDTIF/ IAF,10,200,"$8,314,000 ","$29,000,000 ","$73,096,000 ","$2,000,000 "
2007,Charlotte Pipe,Charlotte Pipe,,Cedar City ,EDTIF,10,40,"$2,858,000 ","$36,000,000 ","$22,958,000 ","$857,000 "
2007,Dannon,Dannon,,West Jordan,EDTIF,10,295,"$51,438,000 ","$175,000,000 ","$96,050,000 ","$8,350,000 "
2007,Amer Sports,Amer Sports,,Ogden,EDTIF/ IAF,10,230,"$26,451,000 ","$3,250,000 ","$132,962,000 ","$7,935,000 "
2007,ICU Medical,ICU Medical,,Taylorsville,EDTIF,10,378,"$10,879,000 ","$18,850,000 ","$68,974,000 ","$3,000,000 "
2007,Syracuse Castings,Syracuse Castings,EJ USA INC,Tooele,EDTIF,10,89,"$1,950,000 ","$1,590,000 ","$20,863,000 ","$585,000 "
2007,Malnove,Malnove,,Clearfield,EDTIF,10,63,"$953,000 ","$5,000,000 ","$19,560,000 ","$286,000 "
2007,Air Liquide,Air Liquide,,Salt Lake City,EDTIF,10,43,"$3,704,000 ","$21,000,000 ","$27,863,000 ","$1,111,000 "
2008,FiberTek,FiberTek,,Nephi,EDTIF/IAF,10,99,"$13,612,000 ","$32,500,000 ","$36,589,000 ","$4,000,000 "
2008,Thermo Fisher Scientific,Thermo Fisher Scientific,,Logan,EDTIF,10,196,"$9,118,000 ","$21,100,000 ","$68,054,000 ","$2,735,000 "
2008,Barnes Aerospace,Barnes Aerospace,BOWMAN DISTRIBUTION,Ogden,EDTIF,15,474,"$7,927,000 ","$11,800,000 ","$150,221,000 ","$2,000,000 "
