YEAR,NAME,NAME_CLEAN,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE,NAICS,OWN,COUNTY,EMP RANGE,EMP_MIN,EMP_MAX,WEB ADDRESS
2012,LEMCO DESIGN,LEMCO DESIGN,4794 S COMMERCE DR,,MURRAY,UT,84107,8012629989,442210,5,35,20-49,20,49,
2012,EMC CORPORATION,EMC CORPORATION,201 S MAIN ST STE 900,,SALT LAKE CITY,UT,84111,,541512,5,35,50-99,50,99,
2012,EMC CORPORATION,EMC CORPORATION,2162 GROVE PKWY,,PLEASANT GROVE,UT,84062,6502868023,541512,5,49,19-Oct,10,19,
2012,EMC CORPORATION,EMC CORPORATION,1821 W 4000 S,,ROY,UT,84067,,541512,5,53,100-249,100,249,
2012,REMCO,REMCO,89 W 3300 S,,SALT LAKE CITY,UT,84115,8014858000,532299,5,35,0,0,,
2012,REMCO,REMCO,270 E 12TH ST,,OGDEN,UT,84404,,532299,5,57,0,0,,
2012,"EMCO MASONRY, INC.","EMCO MASONRY, INC.",1140 W 2620 S,,MAPLETON,UT,84664,8017941103,238142,5,49,4-Jan,1,4,
2012,ADP LEMCO,ADP LEMCO,5970 W DANNON WAY,,WEST JORDAN,UT,84081,8012804000,339920,5,35,20-49,20,49,
2012,MEMCO ENTERPRISES INC,MEMCO ENTERPRISES INC,298 S 3430 E,,NEW HARMONY,UT,847574903,4356807461,238171,5,53,4-Jan,1,4,
2012,LEMC INC,LEMC INC,,,,,,,562212,5,35,20-49,20,49,
2012,EMCOR FACILITIES SERVICES INC,EMCOR FACILITIES SERVICES INC,201 S MAIN,,SALT LAKE CITY,UT,84111,5168772860,561210,5,35,0,0,,
2012,BEMCO INC,BEMCO INC,3882 MAPLELEAF WAY,,WEST JORDAN,UT,840884351,8012803345,238211,5,35,0,0,,
2012,EMC SERVICES LLC,EMC SERVICES LLC,1135 E SOUTH UNION AVE,STE 100,MIDVALE,UT,84047,8012555449,541330,5,35,0,0,,
2012,"DANEMCO, LLC","DANEMCO, LLC",87 E 2580 S,,ST GEORGE,UT,84790,4356739922,541511,5,53,19-Oct,10,19,
2012,EMC2-EXPENSE MANAGEMENT CONSULTING,EMC2-EXPENSE MANAGEMENT CONSULTING,,,,,,4356151013,541611,5,43,4-Jan,1,4,
2012,SEMCO PLASTIC COMPANY,SEMCO PLASTIC COMPANY,,,,,,3144874557,424610,5,35,4-Jan,1,4,
2012,"REMCO-USA, INC.","REMCO-USA, INC.",,,,,,8018366111,236118,5,49,4-Jan,1,4,
2012,RYEMCO TRANSPORT LLC,RYEMCO TRANSPORT LLC,832 N 610 E,,CENTERVILLE,UT,840141647,8012091436,484121,5,11,0,0,,
2012,"EMCOR CONSTRUCTION SERVICES, INC.","EMCOR CONSTRUCTION SERVICES, INC.",,,,,,2038497875,541990,5,35,4-Jan,1,4,
2012,TL'S STEMCELL CONSULTING INC,TL'S STEMCELL CONSULTING INC,,,,,,8018313353,541711,5,35,4-Jan,1,4,
2012,JEMCO STEEL DESIGN  INC,JEMCO STEEL DESIGN  INC,95 N 500 E,,AMERICAN FORK,UT,840032121,8019670461,541340,5,35,0,0,,
2012,JEMCO ENTERPRISES INC.,JEMCO ENTERPRISES INC.,770 E  MAIN ST   254,,LEHI,UT,84043,8016024133,531390,5,49,4-Jan,1,4,
2012,STEMCO LP,STEMCO LP,1052 E 11780 S,,SANDY,UT,840947329,4048886494,425120,5,35,4-Jan,1,4,
2012,"KREMCO SERVICES, INC","KREMCO SERVICES, INC",800 ESCALANTE DR APT 1,,VERNAL,UT,840784332,4357906208,621111,5,47,4-Jan,1,4,
